                                                                               
{'loss': '0.03653', 'grad_norm': '0.0793', 'learning_rate': '1.979e-05', 'epoch': '0.329'}
{'loss': '0.06687', 'grad_norm': '5.231', 'learning_rate': '1.977e-05', 'epoch': '0.3312'}
{'loss': '0.04047', 'grad_norm': '0.04895', 'learning_rate': '1.975e-05', 'epoch': '0.3334'}
{'loss': '0.05753', 'grad_norm': '9.989', 'learning_rate': '1.974e-05', 'epoch': '0.3356'}
{'loss': '0.05972', 'grad_norm': '0.06143', 'learning_rate': '1.972e-05', 'epoch': '0.3378'}
{'loss': '0.08274', 'grad_norm': '9.852', 'learning_rate': '1.97e-05', 'epoch': '0.34'}
{'loss': '0.03219', 'grad_norm': '0.01729', 'learning_rate': '1.969e-05', 'epoch': '0.3422'}
{'loss': '0.06885', 'grad_norm': '2.192', 'learning_rate': '1.967e-05', 'epoch': '0.3443'}
{'loss': '0.04356', 'grad_norm': '0.4508', 'learning_rate': '1.966e-05', 'epoch': '0.3465'}
{'loss': '0.06154', 'grad_norm': '1.977', 'learning_rate': '1.964e-05', 'epoch': '0.3487'}
{'loss': '0.04254', 'grad_norm': '0.01716', 'learning_rate': '1.962e-05', 'epoch': '0.3509'}
{'loss': '0.04391', 'grad_norm': '0.01387', 'learning_rate': '1.961e-05', 'epoch': '0.3531'}
{'loss': '0.05015', 'grad_norm': '0.09852', 'learning_rate': '1.959e-05', 'epoch': '0.3553'}
{'loss': '0.05006', 'grad_norm': '0.1864', 'learning_rate': '1.957e-05', 'epoch': '0.3575'}
{'loss': '0.04829', 'grad_norm': '0.04496', 'learning_rate': '1.956e-05', 'epoch': '0.3597'}
{'loss': '0.05378', 'grad_norm': '0.109', 'learning_rate': '1.954e-05', 'epoch': '0.3619'}
{'loss': '0.05419', 'grad_norm': '0.03265', 'learning_rate': '1.953e-05', 'epoch': '0.3641'}
{'loss': '0.03343', 'grad_norm': '0.1328', 'learning_rate': '1.951e-05', 'epoch': '0.3663'}
{'loss': '0.0707', 'grad_norm': '4.599', 'learning_rate': '1.949e-05', 'epoch': '0.3685'}
{'loss': '0.08238', 'grad_norm': '7.902', 'learning_rate': '1.948e-05', 'epoch': '0.3707'}
{'loss': '0.05013', 'grad_norm': '0.07575', 'learning_rate': '1.946e-05', 'epoch': '0.3729'}
{'loss': '0.037', 'grad_norm': '8.62', 'learning_rate': '1.944e-05', 'epoch': '0.375'}
{'loss': '0.06457', 'grad_norm': '0.01649', 'learning_rate': '1.943e-05', 'epoch': '0.3772'}
{'loss': '0.05932', 'grad_norm': '9.318', 'learning_rate': '1.941e-05', 'epoch': '0.3794'}
{'loss': '0.0365', 'grad_norm': '0.04553', 'learning_rate': '1.94e-05', 'epoch': '0.3816'}
{'loss': '0.04541', 'grad_norm': '0.06053', 'learning_rate': '1.938e-05', 'epoch': '0.3838'}
{'loss': '0.04599', 'grad_norm': '15.52', 'learning_rate': '1.936e-05', 'epoch': '0.386'}
{'loss': '0.03254', 'grad_norm': '0.01427', 'learning_rate': '1.935e-05', 'epoch': '0.3882'}
{'loss': '0.04606', 'grad_norm': '0.0106', 'learning_rate': '1.933e-05', 'epoch': '0.3904'}
{'loss': '0.04107', 'grad_norm': '0.03401', 'learning_rate': '1.931e-05', 'epoch': '0.3926'}
{'loss': '0.03967', 'grad_norm': '0.06067', 'learning_rate': '1.93e-05', 'epoch': '0.3948'}
{'loss': '0.03611', 'grad_norm': '0.7759', 'learning_rate': '1.928e-05', 'epoch': '0.397'}
{'loss': '0.08323', 'grad_norm': '6.786', 'learning_rate': '1.927e-05', 'epoch': '0.3992'}
{'loss': '0.05209', 'grad_norm': '0.1307', 'learning_rate': '1.925e-05', 'epoch': '0.4014'}
{'loss': '0.0501', 'grad_norm': '0.0338', 'learning_rate': '1.923e-05', 'epoch': '0.4036'}
{'loss': '0.0254', 'grad_norm': '0.04913', 'learning_rate': '1.922e-05', 'epoch': '0.4058'}
{'loss': '0.06741', 'grad_norm': '0.1282', 'learning_rate': '1.92e-05', 'epoch': '0.4079'}
{'loss': '0.05026', 'grad_norm': '0.3598', 'learning_rate': '1.918e-05', 'epoch': '0.4101'}
{'loss': '0.03163', 'grad_norm': '0.05482', 'learning_rate': '1.917e-05', 'epoch': '0.4123'}
{'loss': '0.04991', 'grad_norm': '0.2933', 'learning_rate': '1.915e-05', 'epoch': '0.4145'}
{'loss': '0.02707', 'grad_norm': '0.01472', 'learning_rate': '1.914e-05', 'epoch': '0.4167'}
{'loss': '0.03975', 'grad_norm': '0.08322', 'learning_rate': '1.912e-05', 'epoch': '0.4189'}
{'loss': '0.05244', 'grad_norm': '17.27', 'learning_rate': '1.91e-05', 'epoch': '0.4211'}
{'loss': '0.06617', 'grad_norm': '0.02265', 'learning_rate': '1.909e-05', 'epoch': '0.4233'}
{'loss': '0.0274', 'grad_norm': '0.934', 'learning_rate': '1.907e-05', 'epoch': '0.4255'}
{'loss': '0.02965', 'grad_norm': '0.2423', 'learning_rate': '1.905e-05', 'epoch': '0.4277'}
{'loss': '0.01973', 'grad_norm': '0.014', 'learning_rate': '1.904e-05', 'epoch': '0.4299'}
{'loss': '0.0316', 'grad_norm': '0.1529', 'learning_rate': '1.902e-05', 'epoch': '0.4321'}
{'loss': '0.06216', 'grad_norm': '0.01706', 'learning_rate': '1.901e-05', 'epoch': '0.4343'}
{'loss': '0.03289', 'grad_norm': '1.024', 'learning_rate': '1.899e-05', 'epoch': '0.4365'}
{'loss': '0.05779', 'grad_norm': '2.744', 'learning_rate': '1.897e-05', 'epoch': '0.4387'}
{'loss': '0.02134', 'grad_norm': '0.02062', 'learning_rate': '1.896e-05', 'epoch': '0.4408'}
{'loss': '0.05961', 'grad_norm': '0.03639', 'learning_rate': '1.894e-05', 'epoch': '0.443'}
{'loss': '0.05677', 'grad_norm': '0.02376', 'learning_rate': '1.892e-05', 'epoch': '0.4452'}
{'loss': '0.03421', 'grad_norm': '0.02204', 'learning_rate': '1.891e-05', 'epoch': '0.4474'}
{'loss': '0.04997', 'grad_norm': '4.207', 'learning_rate': '1.889e-05', 'epoch': '0.4496'}
{'loss': '0.03664', 'grad_norm': '0.09621', 'learning_rate': '1.888e-05', 'epoch': '0.4518'}
{'loss': '0.04873', 'grad_norm': '6.328', 'learning_rate': '1.886e-05', 'epoch': '0.454'}
{'loss': '0.03189', 'grad_norm': '0.01073', 'learning_rate': '1.884e-05', 'epoch': '0.4562'}
{'loss': '0.03689', 'grad_norm': '0.009546', 'learning_rate': '1.883e-05', 'epoch': '0.4584'}
{'loss': '0.05737', 'grad_norm': '0.08118', 'learning_rate': '1.881e-05', 'epoch': '0.4606'}
{'loss': '0.03524', 'grad_norm': '0.009147', 'learning_rate': '1.879e-05', 'epoch': '0.4628'}
{'loss': '0.0355', 'grad_norm': '0.01848', 'learning_rate': '1.878e-05', 'epoch': '0.465'}
{'loss': '0.03443', 'grad_norm': '0.01073', 'learning_rate': '1.876e-05', 'epoch': '0.4672'}
{'loss': '0.04065', 'grad_norm': '0.01475', 'learning_rate': '1.875e-05', 'epoch': '0.4694'}
{'loss': '0.04961', 'grad_norm': '0.01028', 'learning_rate': '1.873e-05', 'epoch': '0.4716'}
{'loss': '0.0419', 'grad_norm': '0.0182', 'learning_rate': '1.871e-05', 'epoch': '0.4737'}
{'loss': '0.05451', 'grad_norm': '2.19', 'learning_rate': '1.87e-05', 'epoch': '0.4759'}
{'loss': '0.06425', 'grad_norm': '0.07198', 'learning_rate': '1.868e-05', 'epoch': '0.4781'}
{'loss': '0.03057', 'grad_norm': '0.1118', 'learning_rate': '1.866e-05', 'epoch': '0.4803'}
{'loss': '0.04251', 'grad_norm': '0.0612', 'learning_rate': '1.865e-05', 'epoch': '0.4825'}
{'loss': '0.04331', 'grad_norm': '0.2298', 'learning_rate': '1.863e-05', 'epoch': '0.4847'}
{'loss': '0.04826', 'grad_norm': '0.01618', 'learning_rate': '1.862e-05', 'epoch': '0.4869'}
